id,city,country,street
1,"",FRANCE,D
2,BBMNL,GERMANY,YOOATFHWNXM
3,EWOBVZCXUBF,ROMANIA,RTPCPTEMM
4,RIWJN,ROMANIA,RDVWTAZI
5,G,FRANCE,ULOMOSWOZI
6,DCWUYX,GERMANY,CEOJLUK
7,WNSG,PORTUGAL,ELSZTLW
8,V,ITALY,UCPXTIYWLD
9,LPUDN,ITALY,YJYXI
10,RZTTBWD,ROMANIA,JKCJ
11,FAE,HUNGARY,WTACNIL
12,OAVJOEXDE,FRANCE,ZR
13,QHSVSQIPKVTG,FRANCE,MQDGLQTKP
14,WDHYZEP,ITALY,NKLHEEAE
15,XKQIOJGB,ROMANIA,XPWRVCAJWXW
16,QBBNUQNUS,AUSTRIA,CMLB
17,WVZYAA,GERMANY,LQDM
18,NIJSSHBXTF,SPAIN,VAAKL
19,ZPXTSZG,FRANCE,D
20,TY,GERMANY,CPAFKYIZ
21,WJWEKZOOLL,PORTUGAL,KBCRD
22,SHCVKOZMXSGLG,ITALY,""
23,XBNBUWBWELQYB,HUNGARY,QXSRUFTT
24,LKANMTC,PORTUGAL,ZB
25,XT,GERMANY,FWJAYLWFM
26,WEXAKABNO,FRANCE,M
27,MIIXMWXGF,SPAIN,TF
28,OMTSUS,HUNGARY,AOWNVCSGRH
29,GCCBKVG,GERMANY,""
30,ITK,SPAIN,HCJTSSDO
31,WOINYXTRII,SPAIN,JKREBPEE
32,JGNUJS,SPAIN,CSDEDDNH
33,KBCNQVZIISACFZ,PORTUGAL,RUNORLTGHA
34,LF,ITALY,GDWWL
35,TBE,GERMANY,GU
36,FW,GERMANY,PUIQFUJKT
37,LSJKXPVTPWJ,GERMANY,BMVSBRKS
38,IHEP,HUNGARY,L
39,GQ,ITALY,A
40,"",ITALY,S
41,KZLRRNON,HUNGARY,XFKOGV
42,GMAB,GERMANY,RFUCJUDKR
43,"",HUNGARY,XKWVQWXD
44,R,GERMANY,HAOERHUWTOWVQ
45,P,PORTUGAL,LBYVCVRNZITEKW
46,"",AUSTRIA,PTPUCWTW
47,TGGEHLH,ROMANIA,KWAATKMNY
48,ZJLHWY,SPAIN,EWRD
49,EAXHEGZFVKLSM,AUSTRIA,VIWG
50,TEEJQEKKA,PORTUGAL,HBYYKERGGQ
51,OTAYSBZB,FRANCE,JSYGYD
52,YSLIVO,ITALY,XXQIAUPLTGP
53,URFEOOXZ,ROMANIA,LNALS
54,IYBD,GERMANY,ETBZHSMXXC
55,VTZVURQFCO,ROMANIA,ZPT
56,PBBWOOFOVOSGXLD,GERMANY,VZABSNXAFYH
57,ZFMCMZWHKPH,ROMANIA,WNQALEL
58,S,PORTUGAL,TGI
59,FGWBXHUSLGLMY,SPAIN,P
60,EKXOI,AUSTRIA,XAVAS
61,"",GERMANY,I
62,RHMVUVNO,ROMANIA,XQBVJFSFQZ
63,A,HUNGARY,EMDZAYPNYB
64,BFWRR,GERMANY,OOPNXXOVLGO
65,BET,HUNGARY,UROHITVLHJER
66,VAIXNZN,PORTUGAL,MELBOMMOC
67,AXSXRMVXENSN,PORTUGAL,LHSJIU
68,FECNTTUS,AUSTRIA,GWMIK
